Maker_ID,Original_Data,Maker_Type,Actor_Type,Organisation_Name,Title,Initials,Surname,First_name,Suffix,Disambiguation_Numeral,Label,VIAF_URI,Wikidata_URI,Alt_name1,Alt_name2,Alt_name3,Alt_name4,Alt_name5,Alt_name6,Alt_name7,Misc_Info
M-41,Makers ref: 41 | Surname: BLACKWOOD | First name: H. | Alt name: | Date 1 qual: a | Date 1: 1780 | Date 2 qual: a | Date 2: 1880 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: n | Mig town: G | Count stat: qy | Adv trade 1: | Adv trade 2:,Person,Maker,,,,Blackwood,H.,,,H. Blackwood,,,,,,,,,,

M-42,Makers ref: 42 | Surname: MANSELL | First name: John | Alt name: | Date 1 qual: w | Date 1: 1770 | Date 2 qual: w | Date 2: 1792 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: n | Mig town: W | Count stat: y | Adv trade 1: Rule M | Adv trade 2:,Person,Maker,,,,Mansell,John,,,John Mansell,,,,,,,,,,

M-43,Makers ref: 43 | Surname: MANTICHA | First name: Dominick | Alt name: MONTICHA | Date 1 qual: w | Date 1: 1781 | Date 2 qual: w | Date 2: 1805 | Misc info 1: One barometer known by Manticha with Masonic symbols on the plates | Misc info 2: | Misc info 3: | Misc info 4: | Guild: u | Mig town: L | Count stat: y | Adv trade 1: Baro M | Adv trade 2:,Person,Maker,,,,Manticha,Dominick,,,Dominick Manticha,,,Monticha,,,,,,,One barometer known by Manticha with Masonic symbols on the plates | Member of an unknown guild

M-44,"Makers ref: 44 | Surname: MARIOT | First name: James | Alt name: | Date 1 qual: w | Date 1: 1742 | Date 2 qual: w | Date 2: 1742 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: n | Mig town: G | Count stat: y | Adv trade 1: Thermo M, Baro M | Adv trade 2:",Person,Maker,,,,Mariot,James,,,James Mariot,,,,,,,,,,

M-45,"Makers ref: 45 | Surname: MARKE | First name: John | Alt name: MARKES, MARK, MARKS | Date 1 qual: w | Date 1: 1665 | Date 2 qual: w | Date 2: 1673 | Misc info 1: b.c.1647, d. by 1693;Supplied instruments for St Andrew's Observatory | Misc info 2: fr JC 1664, CKC (Brother) 1667/8 | Misc info 3: | Misc info 4: | Guild: Joiners, Clockmakers | Mig town: L | Count stat: y | Adv trade 1: Math IM (in silver, brass, ivory or wood) | Adv trade 2:",Person,Maker,,,,Marke,John,,,John Marke,,,John Markes,John Mark,John Marks,,,,,"b.c.1647, d. by 1693;Supplied instruments for St Andrew's Observatory | fr JC 1664, CKC (Brother) 1667/8"

M-46,Makers ref: 46 | Surname: BRETTELL | First name: | Alt name: | Date 1 qual: w | Date 1: 1860 | Date 2 qual: w | Date 2: 1860 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: u | Mig town: L | Count stat: y | Adv trade 1: | Adv trade 2:,Person,Maker,,,,Brettell,,,,Brettell,,,,,,,,,,Member of an unknown guild

M-47,"Makers ref: 47 | Surname: BLEULER | First name: John | Alt name: BLEWLER (Directory error) | Date 1 qual: w | Date 1: 1788 | Date 2 qual: d | Date 2: 1829 | Misc info 1: Master of SMC 1794-1795, 1809-1811; d 27 Aug 1829; bur 4 Sep 1829 St.Gregory by St.Pau;, London | Misc info 2: | Misc info 3: | Misc info 4: | Guild: Spectaclemakers, fr 1779 | Mig town: L | Count stat: y | Adv trade 1: Optician, Math IM, Optical IM, Phil IM | Adv trade 2:",Person,Maker,,,,Bleuler,John,,,John Bleuler,,,John Blewler,,,,,,,"Master of SMC 1794-1795, 1809-1811; d 27 Aug 1829; bur 4 Sep 1829 St.Gregory by St.Pau;, London | Alt name: Blewler (directory error) | Spectaclemakers, fr 1779"

M-48,Makers ref: 48 | Surname: BOARDMAN | First name: | Alt name: | Date 1 qual: w | Date 1: 1709 | Date 2 qual: w | Date 2: 1709 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: n | Mig town: 0 | Count stat: y | Adv trade 1: | Adv trade 2:,Person,Maker,,,,Boardman,,,,Boardman,,,,,,,,,,

M-49,"Makers ref: 49 | Surname: BLOW | First name: Edmund | Alt name: | Date 1 qual: w | Date 1: 1704 | Date 2 qual: w | Date 2: 1739 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: Joiners, fr 1704 | Mig town: L | Count stat: y | Adv trade 1: Math IM | Adv trade 2:",Person,Maker,,,,Blow,Edmund,,,Edmund Blow,,,,,,,,,,"Joiners, fr 1704"

M-50,"Makers ref: 50 | Surname: BLUNT | First name: Thomas (I) | Alt name: | Date 1 qual: w | Date 1: 1794 | Date 2 qual: d | Date 2: 1823 | Misc info 1: Partnership 1774-93; R.apt Geo.III 1785; Master | Misc info 2: SMC 1792-1794, 1815-1817; d 16 March 1823 | Misc info 3: | Misc info 4: | Guild: Spectaclemakers, fr 1771 | Mig town: L | Count stat: y | Adv trade 1: Math IM, Optician | Adv trade 2:",Person,Maker,,,,Blunt,Thomas,,I,Thomas Blunt,,,,,,,,,,"Partnership 1774-93; R.apt Geo.III 1785; Master | SMC 1792-1794, 1815-1817; d 16 March 1823 | Spectaclemakers, fr 1771"

M-51,"Makers ref: 51 | Surname: BOIG | First name: John | Alt name: BOOK | Date 1 qual: fl | Date 1: 1649 | Date 2 qual: d | Date 2: 1663 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: n | Mig town: D | Count stat: u | Adv trade 1: Mathematician, Math IM ? | Adv trade 2:",Person,Maker,,,,Boig,John,,,John Boig,,,Book,,,,,,,

M-52,Makers ref: 52 | Surname: BOLL | First name: John | Alt name: | Date 1 qual: fl | Date 1: 1666 | Date 2 qual: fl | Date 2: 1666 | Misc info 1: Country where working unknown | Misc info 2: | Misc info 3: | Misc info 4: | Guild: 0 | Mig town: 0 | Count stat: n | Adv trade 1: | Adv trade 2:,Person,Maker,,,,Boll,John,,,John Boll,,,,,,,,,,Country where working unknown

M-53,Makers ref: 53 | Surname: BRAILSFORD | First name: John | Alt name: | Date 1 qual: a | Date 1: 1750 | Date 2 qual: a | Date 2: 1750 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: u | Mig town: L | Count stat: y | Adv trade 1: Cutler | Adv trade 2:,Person,Maker,,,,Brailsford,John,,,John Brailsford,,,,,,,,,,Member of an unknown guild

