town_location_id,geom,town
318,"{""type"":""Point"",""coordinates"":[-0.13041088,51.46257066]}",London SW4
319,"{""type"":""Point"",""coordinates"":[-0.177316479,51.493436083]}",London SW7
320,"{""type"":""Point"",""coordinates"":[-2.7160441,51.8098882]}",Monmouth
321,"{""type"":""Point"",""coordinates"":[-0.1756922,51.6124905]}",North Finchley
322,"{""type"":""Point"",""coordinates"":[-0.086622171,51.435420215]}",London S
323,"{""type"":""Point"",""coordinates"":[-1.6907444,55.1675437]}",Morpeth
324,"{""type"":""Point"",""coordinates"":[-0.2685226,51.4698873]}",Mortlake
325,"{""type"":""Point"",""coordinates"":[-3.9920902,55.7901843]}",Motherwell
326,"{""type"":""Point"",""coordinates"":[-7.166667,54.65]}",Mountfield
327,"{""type"":""Point"",""coordinates"":[-2.1255158,53.2606635]}",Macclesfield
328,"{""type"":""Point"",""coordinates"":[-2.5221184,53.0671376]}",Nantwich
329,"{""type"":""Point"",""coordinates"":[14.2487679,40.8358846]}",Naples
330,"{""type"":""Point"",""coordinates"":[0.0685289,51.4362297]}",New Eltham
331,"{""type"":""Point"",""coordinates"":[0.5231646,51.2748258]}",Maidstone
333,"{""type"":""Point"",""coordinates"":[-0.7965915,54.1349419]}",Malton
334,"{""type"":""Point"",""coordinates"":[-0.2634066,51.4053347]}",New Malden
335,"{""type"":""Point"",""coordinates"":[-1.3242212,51.4020243]}",Newbury
336,"{""type"":""Point"",""coordinates"":[0.004617565,51.463619552]}",London SE 15
337,"{""type"":""Point"",""coordinates"":[-2.8810819,53.5694489]}",Ormskirk
338,"{""type"":""Point"",""coordinates"":[-1.1496461,52.9534193]}",Nottingham
339,"{""type"":""Point"",""coordinates"":[-1.4684488,52.5246182]}",Nuneaton
340,"{""type"":""Point"",""coordinates"":[1.29227,52.628606]}",Norwich
